,Title,Release Year,Genres,Rating,Votes,Story
139,Govinda Naam Mera,2022,"Comedy, Crime, Drama",6.5,"9,955","The very charming Govinda Waghmare juggles his time and love between his wife Mrs. Waghmare and his girlfriend in this dose of chaos, confusion, and laughter."
140,Darlings,I) (2022,"Comedy, Drama, Thriller",6.6,"20,503",It follows the lives of two women as they find courage and love in exceptional circumstances.
141,Friday Night Plan,2023,"Comedy, Drama",6.5,"1,567","When their mother takes off on a business trip, two bickering brothers unite to secretly attend the hottest party of the year before she returns."
142,Monsoon Wedding,2001,"Comedy, Drama, Romance",7.3,"26,400
| Gross","A stressed father, a bride-to-be with a secret, a smitten event planner, and relatives from around the world create much ado about the preparations for an arranged marriage in India."
143,Jab We Met,2007,"Comedy, Drama, Romance",7.9,"56,830
| Gross",A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.
144,Dil Chahta Hai,2001,"Comedy, Drama, Romance",8.1,"74,694
| Gross","Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension."
145,Kalki 2898 AD,2024,"Action, Adventure, Drama",NaN,NaN,"A modern-day avatar of Vishnu, a Hindu god, who is believed to have descended to earth to protect the world from evil forces."
146,Kisi Ka Bhai Kisi Ki Jaan,2023,"Action, Comedy, Drama",4.4,"39,902","The eldest brother refuses to marry since he believes it may create disharmony in his big family. His brothers, who've already found partners, come together to find a match for him."
147,Krrish,2006,"Action, Adventure, Sci-Fi",6.4,"23,223","Krishna is forced by circumstances to use his superpowers and become the masked superhero Krrish, before getting drawn towards his lost legacy."
148,Jalebi,2018,"Drama, Romance",6.0,"2,989",A woman boards an overnight train and gets placed in a compartment with her former lover and his wife.
149,Rang De Basanti,2006,"Comedy, Crime, Drama",8.1,"121,365
| Gross","The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom."
150,Fashion,2008,"Drama, Romance",6.9,"12,961
| Gross",A small-town girl finally realizes her dream of becoming a famous supermodel but soon finds out that her glamorous new life has a price.
151,Dil Bechara,2020,"Comedy, Drama, Romance",8.3,"133,754","The emotional journey of two hopelessly-in-love youngsters; a young girl, Kizie, who is suffering from cancer; and Manny, a boy Kizie meets at a support group."
152,Haseen Dillruba,2021,"Crime, Drama, Mystery",6.9,"28,886","Under investigation as a suspect in her husband's murder, a wife reveals details of their thorny marriage that seem to only further blur the truth."
153,Raees,2017,"Action, Crime, Drama",6.6,"49,155
| Gross",A bootlegger sets out to improve his community as a promising leader but falls in a political trap.
